source_id,latitude,latitude_errors,longitude,longitude_errors,depth,depth_errors,depth_type,origin_evaluation_mode,origievaluation_status,time,region,mag,mag_errors,magnitude_type,creation_info,evaluation_mode,evaluation_status,station_network_code,station_code,trace_channel,station_location_code,trace_sampling_rate_hz,trace_start_time,trace_Peak_M2.4_time,trace_Peak_M2.4_arrival_sample,trace_noise_start_time,trace_noise_start_arrival_sample,trace_Sg_time,trace_Sg_arrival_sample,trace_start_arrival_sample,trace_S_spectral_start_time,trace_S_spectral_start_arrival_sample,trace_S_spectral_end_time,trace_S_spectral_end_arrival_sample,trace_noise_end_time,trace_noise_end_arrival_sample,trace_P_spectral_end_time,trace_P_spectral_end_arrival_sample,trace_Pg_time,trace_Pg_arrival_sample,trace_end_time,trace_end_arrival_sample,trace_P_spectral_start_time,trace_P_spectral_start_arrival_sample,trace_name,trace_y1_time,trace_y1_arrival_sample,trace_y2_time,trace_y2_arrival_sample,trace_Peak_MbS_time,trace_Peak_MbS_arrival_sample,trace_Peak_MbP_time,trace_Peak_MbP_arrival_sample,trace_x1_time,trace_x1_arrival_sample,trace_y3_time,trace_y3_arrival_sample,trace_x3_time,trace_x3_arrival_sample,trace_x2_time,trace_x2_arrival_sample
smi:insight.mqs/mqs2019mbpd,4.5024,,135.6234,,,,,manual,reviewed,2019-06-21T15:08:05.945700Z,,1.7,,MW,,,,XB,ELYSE,BH,02,100,2019-06-21T15:13:05.945711Z,2019-06-21T15:19:50.727815Z,18374,2019-06-21T15:04:32.005609Z,0,2019-06-21T15:17:16.501612Z,15289.0,10278,2019-06-21T15:17:27.436341Z,15508,2019-06-21T15:21:56.791690Z,20895,2019-06-21T15:11:53.376899Z,8827,2019-06-21T15:16:51.715381Z,14793,2019-06-21T15:13:22.874576Z,10617.0,2019-06-21T15:24:11.739915Z,23594,2019-06-21T15:15:31.584578Z,13191,"bucket1$2,:3,:23595",,,,,,,,,,,,,,,,
smi:insight.mqs/mqs2019mdig,4.5024,,135.6234,,,,,manual,preliminary,2019-06-22T14:00:03.000000Z,,1.6,,MW,,,,XB,ELYSE,BH,02,100,2019-06-22T14:01:40.134300Z,2019-06-22T14:04:33.534737Z,17566,2019-06-22T13:49:55.226999Z,0,2019-06-22T14:04:07.987042Z,17055.0,14098,2019-06-22T14:04:02.091127Z,16937,2019-06-22T14:06:18.488568Z,19665,2019-06-22T13:55:56.283840Z,7221,2019-06-22T14:02:57.801887Z,15651,2019-06-22T14:01:35.445072Z,14004.0,2019-06-22T14:14:01.114976Z,28917,2019-06-22T14:01:56.553354Z,14426,"bucket3$1,:3,:28918",,,,,,,,,,,,,,,,
smi:insight.mqs/mqs2019mdlt,4.5024,,135.6234,,,,,manual,preliminary,2019-06-22T15:46:19.000000Z,,1.7,,MW,,,,XB,ELYSE,BH,02,100,2019-06-22T15:50:25.592586Z,2019-06-22T15:56:46.268538Z,11439,2019-06-22T15:47:14.265942Z,0,2019-06-22T15:54:00.122795Z,8116.0,3826,2019-06-22T15:53:37.822848Z,7670,2019-06-22T15:55:58.595474Z,10486,2019-06-22T15:49:33.697279Z,2788,2019-06-22T15:53:30.940631Z,7533,2019-06-22T15:49:43.018022Z,2974.0,2019-06-22T16:07:28.237414Z,24279,2019-06-22T15:51:33.942937Z,5193,"bucket5$3,:3,:24280",,,,,,,,,,,,,,,,
smi:insight.mqs/mqs2019mfkb,4.5024,,135.6234,,,,,manual,preliminary,2019-06-23T17:11:40.000000Z,,1.7,,MW,,,,XB,ELYSE,BH,02,100,2019-06-23T17:17:37.535874Z,2019-06-23T17:24:12.096317Z,22028,2019-06-23T17:05:50.678052Z,0,2019-06-23T17:23:54.998198Z,21686.0,14137,2019-06-23T17:24:26.995921Z,22326,2019-06-23T17:30:05.354819Z,29093,2019-06-23T17:09:43.819376Z,4662,2019-06-23T17:23:10.065226Z,20787,2019-06-23T17:17:49.033444Z,14367.0,2019-06-23T17:31:02.210971Z,30230,2019-06-23T17:17:46.159051Z,14309,"bucket3$2,:3,:30231",,,,,,,,,,,,,,,,
smi:insight.mqs/mqs2019muva,4.5024,,135.6234,,,,,manual,reviewed,2019-07-02T03:41:09.561200Z,,1.7,,MW,,,,XB,ELYSE,BH,02,100,2019-07-02T03:46:09.561263Z,2019-07-02T03:52:42.492116Z,34228,2019-07-02T03:24:11.024165Z,0,2019-07-02T03:52:07.340303Z,33525.0,26370,2019-07-02T03:52:11.164231Z,33602,2019-07-02T03:53:18.804766Z,34954,2019-07-02T03:36:12.368362Z,14426,2019-07-02T03:50:47.473400Z,31928,2019-07-02T03:47:23.633897Z,27851.0,2019-07-02T04:00:10.467518Z,43188,2019-07-02T03:47:37.162743Z,28122,"bucket0$2,:3,:43189",,,,,,,,,,,,,,,,
smi:insight.mqs/mqs2019mvcm,4.5024,,135.6234,,,,,manual,reviewed,2019-07-02T07:28:49.988300Z,,1.6,,MW,,,,XB,ELYSE,BH,02,100,2019-07-02T07:33:49.988357Z,2019-07-02T07:39:23.853599Z,19085,2019-07-02T07:23:29.574801Z,0,2019-07-02T07:38:35.352471Z,18115.0,12408,2019-07-02T07:38:48.367867Z,18375,2019-07-02T07:44:27.716990Z,25162,2019-07-02T07:31:42.381920Z,9855,2019-07-02T07:37:55.902706Z,17326,2019-07-02T07:33:47.837068Z,12365.0,2019-07-02T07:48:57.194594Z,30552,2019-07-02T07:33:57.018784Z,12548,"bucket3$3,:3,:30553",,,,,,,,,,,,,,,,
smi:insight.mqs/mqs2019mwwk,4.5024,,135.6234,,,,,manual,preliminary,2019-07-03T06:43:59.000000Z,,2.2,,MW,,,,XB,ELYSE,BH,02,100,2019-07-03T06:44:22.785108Z,2019-07-03T06:50:48.298227Z,15872,2019-07-03T06:37:34.678594Z,0,2019-07-03T06:50:30.170175Z,15509.0,8161,2019-07-03T06:50:45.188810Z,15809,2019-07-03T06:52:33.900741Z,17984,2019-07-03T06:44:05.236272Z,7810,2019-07-03T06:48:55.134756Z,13608,2019-07-03T06:44:54.556592Z,8797.0,2019-07-03T07:01:33.388522Z,28773,2019-07-03T06:45:39.184855Z,9689,"bucket3$4,:3,:28774",,,,,,,,,,,,,,,,
smi:insight.mqs/mqs2019nbty,4.5024,,135.6234,,,,,manual,preliminary,2019-07-05T23:10:18.000000Z,,1.7,,MW,,,,XB,ELYSE,BH,02,100,2019-07-05T23:12:38.987514Z,2019-07-05T23:18:09.972006Z,19944,2019-07-05T23:01:32.739095Z,0,2019-07-05T23:18:09.115973Z,19927.0,13324,2019-07-05T23:18:17.624811Z,20097,2019-07-05T23:20:19.409627Z,22533,2019-07-05T23:08:59.064895Z,8926,2019-07-05T23:17:44.388149Z,19432,2019-07-05T23:12:39.983125Z,13344.0,2019-07-05T23:26:26.435762Z,29873,2019-07-05T23:12:40.497310Z,13354,"bucket3$5,:3,:29874",,,,,,,,,,,,,,,,
smi:insight.mqs/mqs2019ncpf,4.5024,,135.6234,,,,,manual,preliminary,2019-07-06T09:55:17.000000Z,,1.6,,MW,,,,XB,ELYSE,BH,02,100,2019-07-06T10:01:07.601108Z,2019-07-06T10:01:08.485906Z,2987,2019-07-06T09:58:39.066858Z,0,2019-07-06T10:05:13.559394Z,7889.0,2970,2019-07-06T10:05:15.112293Z,7920,2019-07-06T10:06:54.504073Z,9908,2019-07-06T10:00:48.058648Z,2579,2019-07-06T10:04:47.742091Z,7373,2019-07-06T10:01:07.758222Z,2973.0,2019-07-06T10:15:40.229737Z,20422,2019-07-06T10:01:08.678435Z,2991,"bucket1$3,:3,:20423",,,,,,,,,,,,,,,,
smi:insight.mqs/mqs2019ndqu,4.5024,,135.6234,,,,,manual,preliminary,2019-07-06T23:51:24.000000Z,,1.6,,MW,,,,XB,ELYSE,BH,02,100,2019-07-06T23:51:10.405539Z,2019-07-06T23:56:13.268662Z,18021,2019-07-06T23:41:12.157144Z,0,2019-07-06T23:54:55.137524Z,16459.0,11964,2019-07-06T23:55:01.106658Z,16578,2019-07-07T00:02:53.205058Z,26020,2019-07-06T23:50:57.326523Z,11703,2019-07-06T23:54:28.218904Z,15920,2019-07-06T23:51:11.577787Z,11988.0,2019-07-07T00:04:41.215072Z,28180,2019-07-06T23:51:24.684021Z,12250,"bucket5$4,:3,:28181",,,,,,,,,,,,,,,,
